,Date,Province_State,Recovered,Deaths,Confirmed,Active
363,2020-03-25,Uttarakhand,0,0.0,4,4.0
364,2020-03-25,West Bengal,0,1.0,9,8.0
365,2020-03-26,Andaman and Nicobar Islands,0,0.0,1,1.0
366,2020-03-26,Andhra Pradesh,1,0.0,11,10.0
367,2020-03-26,Bihar,0,1.0,6,5.0
368,2020-03-26,Chandigarh,0,0.0,7,7.0
369,2020-03-26,Chhattisgarh,0,0.0,6,6.0
370,2020-03-26,Delhi,6,1.0,36,29.0
371,2020-03-26,Goa,0,0.0,3,3.0
372,2020-03-26,Gujarat,0,3.0,43,40.0
373,2020-03-26,Haryana,11,0.0,30,19.0
374,2020-03-26,Himachal Pradesh,0,1.0,3,2.0
375,2020-03-26,Jammu and Kashmir,1,0.0,13,12.0
376,2020-03-26,Karnataka,3,2.0,55,50.0
377,2020-03-26,Kerala,6,0.0,118,112.0
378,2020-03-26,Ladakh,0,0.0,13,13.0
379,2020-03-26,Madhya Pradesh,0,1.0,20,19.0
380,2020-03-26,Maharashtra,1,3.0,124,120.0
381,2020-03-26,Manipur,0,0.0,1,1.0
382,2020-03-26,Mizoram,0,0.0,1,1.0
383,2020-03-26,Odisha,0,0.0,2,2.0
384,2020-03-26,Puducherry,0,0.0,1,1.0
385,2020-03-26,Punjab,0,1.0,33,32.0
386,2020-03-26,Rajasthan,3,0.0,41,38.0
387,2020-03-26,Tamil Nadu,1,1.0,26,24.0
388,2020-03-26,Telengana,1,0.0,44,43.0
389,2020-03-26,Uttarakhand,0,0.0,5,5.0
390,2020-03-26,Uttar Pradesh,11,0.0,41,30.0
391,2020-03-26,West Bengal,0,1.0,10,9.0
392,2020-03-27,Andaman and Nicobar Islands,0,0.0,1,1.0
393,2020-03-27,Andhra Pradesh,1,0.0,12,11.0
394,2020-03-27,Bihar,0,1.0,6,5.0
395,2020-03-27,Chandigarh,0,0.0,7,7.0
396,2020-03-27,Chhattisgarh,0,0.0,6,6.0
397,2020-03-27,Delhi,6,1.0,36,29.0
398,2020-03-27,Goa,0,0.0,3,3.0
399,2020-03-27,Gujarat,0,3.0,43,40.0
400,2020-03-27,Haryana,11,0.0,30,19.0
401,2020-03-27,Himachal Pradesh,0,1.0,3,2.0
402,2020-03-27,Jammu and Kashmir,1,1.0,13,11.0
403,2020-03-27,Karnataka,3,2.0,55,50.0
404,2020-03-27,Kerala,11,0.0,137,126.0
405,2020-03-27,Ladakh,3,0.0,13,10.0
406,2020-03-27,Madhya Pradesh,0,1.0,20,19.0
407,2020-03-27,Maharashtra,15,4.0,130,111.0
408,2020-03-27,Manipur,0,0.0,1,1.0
409,2020-03-27,Mizoram,0,0.0,1,1.0
410,2020-03-27,Odisha,0,0.0,2,2.0
411,2020-03-27,Puducherry,0,0.0,1,1.0
412,2020-03-27,Punjab,0,1.0,33,32.0
413,2020-03-27,Rajasthan,3,0.0,41,38.0
414,2020-03-27,Tamil Nadu,1,1.0,29,27.0
415,2020-03-27,Telengana,1,0.0,45,44.0
416,2020-03-27,Uttarakhand,0,0.0,5,5.0
417,2020-03-27,Uttar Pradesh,11,0.0,41,30.0
418,2020-03-27,West Bengal,0,1.0,10,9.0
419,2020-03-28,Andhra Pradesh,1,0.0,14,13.0
420,2020-03-28,Andaman and Nicobar Islands,0,0.0,6,6.0
421,2020-03-28,Bihar,0,1.0,9,8.0
422,2020-03-28,Chandigarh,0,0.0,8,8.0
423,2020-03-28,Chhattisgarh,0,0.0,6,6.0
424,2020-03-28,Delhi,6,1.0,39,32.0
425,2020-03-28,Goa,0,0.0,3,3.0
426,2020-03-28,Gujarat,0,3.0,45,42.0
427,2020-03-28,Haryana,12,0.0,33,21.0
428,2020-03-28,Himachal Pradesh,0,1.0,3,2.0
429,2020-03-28,Jammu and Kashmir,1,1.0,20,18.0
430,2020-03-28,Karnataka,3,2.0,55,50.0
431,2020-03-28,Kerala,11,0.0,176,165.0
432,2020-03-28,Ladakh,3,0.0,13,10.0
433,2020-03-28,Madhya Pradesh,0,2.0,30,28.0
434,2020-03-28,Maharashtra,25,5.0,180,150.0
435,2020-03-28,Manipur,0,0.0,1,1.0
